review,rating
"Secara umum sudah baik namun masih dan terus dibenahi, mengingat ini adalah situ peninggalan sejarah yang harus selalu dirawat.",5
"Pemandian air hangat. Letaknya di area sawah, kalau gak ada tembok temboknya pasti bisa berendam sambil lihat pemandangan sawah. Harga tiket masuk 7000 (28 Oktober 2018) sama parkir motor 2000. …",3
"Salah satu tempat bersejarah..kalau mau kesana hati hati ya dipinggir jalan masuk nya masih ada kyak jurang"" gitu..jd harus hati"". Tempatnya banyak batu"" peinggal sejarah air nya hangat untuk mandi, disana juga ada kolam air hangat 2 yang 1 …",5
Pemandian air hangat peninggalan zaman Mataram Kuno perlu ditingkatkan kebersihan lokasinya..,5
"Candi Umbul adalah situs purbakala berupa pemandian air panas yang terletak di Kabupaten Magelang, Jawa Tengah, Indonesia. Candi ini dibangun sejak zaman Wangsa Syailendra, dan sampai sekarang sisa-sia peninggalannya masih tetap dilindungi dan dijadikan salah satu objek wisata andalan di Kabupaten Magelang",4
"airnya kelihatan agak keruh, banyak lumut diseputaran kolam yang terbuat dari batu, emang suasana seperti mandi di candi karena dinding2 kolam terbuat dari batu candi asli.setelah beberapa tahun yg lalu waktu pertama kesini, sekarang sdh …",1
Tersedia 2 kolam untuk dewasa dan anak-anak.Kolamnya eksotis khas jaman kerajaan mataram kuno.Akan lebih eksotis lagi bila kolamnya lebih bersih sehingga tidak ada rasa takut …,4
"Klo dari Temanggung bisa lewat polsek Pringsurat ke kanan tapi karena kami juga mo mampir ke rumah temen di Grabag kami putuskan lewat Krincing ke arah Grabag untuk sampai disini, masuk ke lokasi lewat jalan aspal yang cukup wat 2  🚘🚘 …",3
"Cocok untuk menghilangkan penat dihari libur karna masih asri, airnya tidak terlalu panas, pengunjungnya lumayan ramai. Namun ada sesuatu yang sedikit yang kurang yaitu tempat bilasnya terlalu terbuka.",4
Pemandian air hangat bersejarah dgn relief candi. Sedang tutup krn masa corona. Suasana sekitar menarik,4
pengalaman jaman masih sekolah mengadakan persami/pramuka di sini dan terjadi kesurupan massal.terutama anak cewek.sampai sudah di bawa pulang ttep masih kesurupan.sampai sekarang sudah 13 thn blum pernah berkunjung ke sini lagi,3
"Candi  Umbul, sepertinya masih sangat mungkin untuk dikembangkan, diolah menjadi permandian air hangat yang lebih baik, misalnya air yang di kolam tempat meta air tidak boleh untuk mandi tapi air disalurkan di kolam lain dan airnya kalau bisa sudah jernih menjadi kolam mandi. Sentuhan teknologi bisa diaplikasikan disana.",2
"Sangat berseri dan syahdu,cocok buat keluarga,nyaman dan aman. Murah meriah",5
"Tempat bagus menurut saya pribadi kalo tidak ramai airnya hangat kalo musim salju, kurang perawatan dan terkesan jorok kamar mandinya, overall okey",3
"Situs bersejarah yg diperkirakan dari zaman tahun 800 an masehi, masa dimana kakek dan nenek buyut kita belum lahir. Ada 2 kolam rendam dengan air hangat suam-suam kuku, yang satu lebih dalam daripada lainnya. …",4
"Kirain ada candinya, ternyata kolam pemandian air hangat. Ada kantin di dalam.",4
"Sangat tepat untuk meditasi dan relaksasi, air kolamnya hangat. Pemandangan di sekitar juga eksotis.",5
Kolam air hangat lumayan. Kebersihan toilet kurang. View sekitarnya bagus.,3
Sebuah pemandian air hangat di magelang....silahkan datang sangat alamiAjak saudara anak2 untuk rasakan sensasi alam nuansa raja jaman dulu.mandi berendam air hangat.,5
"hari ini, 15 Nov 2020. masih tutup karena pandemi. jadi tidak bisa masuk mandi air hangat.untuk akses jalan, ( kita gowes ) kalau dari jalan raya, cukup dekat. tapi …",4
"Ini pertama kali renang ke candi umbul.Ada dua buah kolam air hangat dg luas yg tak seberapa,dg dinding dan tangga batu khas candi.ini memang situs kuno beberapa ratus tahun lalu.air hijau karena dasar kolam berbatu dan berlumut.perlu hati …",4
"Sebuah wahana ngopi modern yg oke, dengan tata lay out yg baik. Punya jarak yg ckup bagus dr jalan, sehingga tidak bising. Parkiran juga cukup oke. Simple dan rapi..",5
Pemandian air panas yang cukup underated. Kesana kondisi sepi jadi berasa jadi pemandian pribadi. Untuk cowo bisa membeli celana pendek di warung depan gerbang,5
"tgl 4 Juni 2021, udah mulai buka. kolamnya kecil, di sini buat berendem bukan kolam renang. airnya keruh dan banyak lumut, harusnya dikuras",4
"Seru mandi air anget, tapi sayang kolamnya kotor, trus pembilasannya ga mendukung. Murh meriah @10rb sepegelnya",2
Pemandian yang masih alami bangunannya pada jaman sejarah dan ada candinya kaya zaman kerajaan pakai batu alam kolamnya,5
Cocok banget buat yang mau mencoba pengalaman mandi air hangat yang dekat dengan akses jalan utama,5
Tempaty sekarang jauh lebih nyaman..bersih..dan halaman parkirany sudah rapi..di depan juga sudah banyak pedagang ..walaupun tempaty kecil tapi nyaman dan airy juga ga terlalu panas..,5
"Oktober 2019 dlm renovasi dan penambahan fasilitas. Lokasi di jalan desa tapi petunjuk arah jelas. Hati2 turunan tikungan tajam. Tempatnya tidak begitu luas. Parkir luas, tapi mobil tdk bisa masukghdlm kompleks. Air hangat. Rame sore-malam. …",4
"Tempatnya tenang,pemandangan syahdu. Airnya anget. Cuma gak ad yg jual makanan enak.  Tiket murah.",5
"Saya agak bingung sama kamar mandinya soalnya gk ada tulisannya,terlebih juga kran banyak yang mati waktu itu,dan gk ada petugas disana jadi gak ada yg bisa ditanyai,semoga kedepannya bisa diperbaiki",4
"Tempatnya cukup nyaman,  alam sekitarnya asri sekali,  letak cukup mudah dicari dan sebaiknya kesini bukan hari libur supaya lbh nyaman utk berendam air hangatnya..  😊 …",3
Pemandian air panas ... anget ...cuman airnya agak kotor ... tempat lumayan bersih ... jajanan gag komplit ..kamarmandi agak kotor,3
"Air hangat tapi bukan belerang kaya nya,  tapi drmn sumber panas nya ya?  Kesana lupa mau tanya yang jaga keburu sore",4
"Tempat yang bagus banget buat relaksasi, hanya tinggal perawatan fasilitas saja.",5
"2 kolam kecil, 1 dewasa + 1 anak2Pemandangan sekitar sawah",3
"Situs purbakala, pemandian air hangat",5
Pemandiannya tidak terlalu luas. Tapi cukup oke jika hanya untuk berendam tanpa berenang. Airnya hangat karena dari sumber air panas alami. Cuma saat kesana banyak lumut. Lumutnya banyak mengambang dan menempel di dinding batu pemandian. …,4
Umbul dengan lokasi batu candi. Ada catatan peninggalan sejarah masa lampau.,3
"Sayang kesadaran pengunjungnya kurang. Banyak yang merokok padahal banyak anak-anak. Tempat bilasnya sangat minim. Seandainya dikelola lebih baik, bisa jadi alternatif destinasi wisata selain Borobudur.",3
"Wisata sejarah dengan kolam pemandian air hangat,, usahakan ke sini pagi pagi ,,lebih terasa hangatnya",5
"Tempatnya asri banget. Masih terjaga kelestariaannya dan hijau banget. Tapi sekedar saran aja untuk tidak datang kesana di siang hari bolong di musim panas,karena di kolamnya akan terasa panas banget. Tapi terserah sih,selera beda2.",3
"Tempat wisata pemandian candi umbulDari jalan utama secang-grabag, kita masih harus melewati jalanan masuk yang disana merupakan jalan jalan penghubung antar desa.  Kita akan melewati luasnya …",3
"Tempatnya asri, tdk terlalu crowded,  nyaman dna udaranya sejuk. Cocok utk mengajak anak belajar berenang disana",4
Air panas ada 2 kolam cocok untuk anak2..dewasa jg ok.,4
Tempat wisata pemandian raja raja jaman dulu.  Air hangat. Tiket masuk murah,5
"Akses yang jauh dari jalan utama. Jalan menuju candi umbul belum bagus, petunjuk jalan minimalis, sehingga menyulitkan untuk pencarian lokasi. Fasilitas pendukung dan Penataan cagar budaya kurang. Tidak nyaman untuk berendam atau berenang karena ukuran kolam yang kecil. View lokasi juga kurang ditata.",2
"Kolam banyak lumut, terus tempat bilas atau wc mengerikan :/. Tapi air hangatnya msh bikin segar waktu mandi",3
"Situs sejarah yg menarik. Dulunyaa bekas Candi Kuno th 800 M, skg jadi kolam. Ada air hangat bergelembung yg mumbul (naik) makanya disebut candi umbul. Tapi sayangnya kotor, banyak lumutnya, airnya jg hijau gelap",3
"Tempat yang nyaman untuk bersantai di weekend. Saat kesana sudah agak siang, jadi agak sepi. Banyak anak2 dan orang dewasa. Air tidak terlalu hangat dan agak kotor. …",5
Pemandian yg dikelilingi pemandangan pegunungan dan persawahanSuasana yg asri menambah kesyahduan ketika mandi air hangat,5
"Tempatny bersih,gk trlalu ramai tenang sejuk",5
"Ya cukup lumayan, biarpun kalau di isi 15 sudah penuh.. Hanya ada 1 kolam yg bs buat berenang...",3
"Fasilitas umum tidak memadai sama sekali, toilet kotor, air bersih utk bilas kurang, padahal masuknya bayar, mohon perhatian serius untuk dinas terkait",2
"Fasilitas sudah lumayan, kemarin sudah direnovasi, tapi sayang sekali, kesadaran pengunjung untuk membuang sampah tidak ada, setelah libur panjang kemarin, saya datang hari ini, sampah berserakan dimana2. 😓 …",3
Terdapat manifestasi geothermal berupa mata air panas di candi umbul. Dapat digunakan sebagai tempat pembandian dan berenang bagi anak-anak ataupun orang dewasa.,3
"Air nya hangat dan jernih ,tiket masuk nya terjangkau,ada 2 kolam",5
Tempat nya enak.Lebih bagus kalau ada saung nya...,5
Sepi jdi bisa leluasa..mngkin krn efek covidmngkin kebersihan kolamnya lbih di jaga..,4
Kolam terbatas .. mungkin lebih baik di hari2 biasa .. leluasa berendam,3
Sebuah kolam renang purba yang terletak di pedesawan di tengah sawah namun airnya hangat meski jauh dari gunung berapi aktif. Sangat cocok buat berendam saat pagi hari,3
Senang n nyaman singgah di candi umbul..bisa berwisata dgn anak n suami,5
Kurang nyaman fasilitas air bilasnya dn bau pesing bgt.....kurang dirawat dn dijaga semua fasilitas yg ad,5
"Udaranya sejuk air hangat, tp kolam kurang luas",4
"Destinasi wisata alternatif bagi anak-anak sekitar Magelang. Biaya masuk 5000, kalau warga setempat gratis.",5
"Akhir September 2019 kesini, lokasi baru di renovasi, jadi nanti komen nya kalau sudah selesai.",5
"Jorokkkkkk sekalii kamar mandinya...kolamnya lumutan...disitu org kencing batuk dahak dan lain"" terlalu dekat jaraknya karna kurang luas kolamnya...ampun lah saya gan",1
Situs pemandian air hangat kian bagus serta terpelihara..  mungkin airnya berlumut.,4
"Melihat review2 yg mengatakan kalau kurang terawat padahal aslinya bagus, sepertinya managemen perlu menaikkan harga tiket, supaya ada biaya utk perawatan. Semoga semakin baik.",1
"Ini adalah candi Hindu di Kec Grabag, Magelang, Jateng. Tempatnya asri dengan konsep hindu Bali yang memang terkenal dengan pendekatan natural asri, yg menyatu dengan alam.. Kebersihan nya terjaga baik..",5
"Dengan harga tiket yg murah ( tiket masuk Rp 7.000+ parkir mobil Rp 5.000), Perlu ditingkatkan perawatan dan kebersihan sarana&prasarana terutama ruang ganti dan kamar mandi",4
"Sebenarnya tempat yang indah dan bernilai sejarah. Cuman sangat perlu diperhatikan perawatannya. Bagi saya wisatawan luar kota sangat tidak nyaman dengan tempat yang kurang maintenance. Kamar mandi kotor, batuan kolam renang beralga dan …",4
"Sangat disayangkan ya,tadi saya kesitu buat mengantar anak² saya,sesampai disana masuk kolam bawah,banyak banget jentik² merah,dan berlumut sampai anak saya tergelincir. …",1
"Pemandian air hangat, tp sayang lmyn bnyk lumutnya",5
Lumayan buat refreshing bareng keluarga. Air hangat. Buat yang hobby foto banyak atraksi anak2 salto kalau hari minggu,5
Kolamnya 21 utk dewasa1 utk anak-anak. …,3
Tahap renovasi semoga lbih baik lg fasilitasnya,5
Sangat memukau dan pemandian para raja dijaman dahulu,5
Tempat nyaman fasilitas ada semua....Krg nya perawatan pada kolam karena bnyk lumut...Krg panas kolamnya..Krg fasilitas bermain dan hiburan....,3
"nyaman,hangat,cocok untuk keluarga.namun kolamnya berlumut,alangkah lebih baik jika pengelola lebih mampu merawatnya",3
"Airnya anget, htm 5.500 parkir sepeda motor 2000.",5
Tempatnya indah dan bagus. Kalau kesana cuacanya cerah juga indah banget pemandangannya. Pokoknya bagus deh aku cinta pariwisata Indonesia. 😍😍 …,5
Airnya sangat hangat. Apa lagi kalau musim hujan.,4
"Air hangat candi umbul, ensk buat berendam hangat nya pas",5
Lumbayan buat ajak anak2 sekedar berendam....cuman aga kurang bersih aga jorok untuk wc nya,4
Situs candi umbul dengan Pemandian air hangat yg harus tetap di jaga,4
"Pemandangan sangat bagus, suasana damai dan nyaman",3
Tempatnya nyaman dan bikin asik anak istri terhibur dengan mandi air hangat di sana,1
Tiket terjangkau dan tempat cukup bagus,4
"Akses jalan : jalan menuju candi hindu ini cukup bagus, walaupun berkelok-kelok. Baik itu dari jalan Nasional Jogja - Semarang, maupun dari jalan alternatif Magelang-Salatiga. …",3
tempat yg asri nyaman sejuk walo kamar mandi kotor,4
"Fasilitas kamar ganti dan wc sudah tidak layak, air pun tidak ngalir",1
Kolam air suam pada kawasan situs bersejarah.,5
"Berendam air hangat alami bagai keluarga raja Mataram kuno, bisa kamu temui di candi Umbul",4
Empat bagus asli buat yanh doyan madi air hngan tempatnya nyaman ada toilet warung makan juga ada,5
Tempatnya sejuk dan indah. Ada kolam renang air hangat yang alami,4
Bagus tempat bersejarah cuman sayang kurang terawat,3
"Kolam Pemandian Air Hangat,1. Jam buka setiap Hari 06-18 WIB.2. HTM sekitar 5-10k, …",5
Candi umbul merupakan wisata alam dengan kolam air hangat. Ada dua kolam satu kolam agak kecil dan satunya lagi ukuran sedang. Yaaa tiketnya memang lumayan murah sih. Jd Cukup banyak pengunjung waktu hari libur. Sewaktu saya kesana kolam …,2
Tempat permandian air hangat.tiket masuk 5.000 parkir mobil 5000. Kolam ada 2. Airnya kalau menurut saya kurang hangat. Ada kantin dibelakang. habis magrib sudah sepi...penerangan jg  sangat kurang..Sayang tidak ada petugas yg …,4
Merupakan candi namun berupa kolam pemandian air panas alami yang terletak di tengah persawahan dengan struktur terasering. Jangan berpikir akan menemukan banyak stupa di candi ini. Airnya rasanya tawar tidak berbau belerang seperti air …,5
kolamnya air hangat..,5
cukup bagus. tempate tenang n nyante...cuma utk toilet perlu di tambah n di benahi ya...,5
Untuk dinas pariwisata  kab magelang kenapa ini udh 1 tahun lebih belum di buka ya,4
Melihat dan memperkenalkan kpd generasi muda ttg peninggalan leluhur tanah ini,5
Tempatnya alami sayang airnya ada lumutTapi ya lumayan buat relaxing,4
Candi belum dilakukan pembangunan ulang,3
Anget anget..bikin penyakit kulit lenyap.yg sakit kulit merapat.yg sakit hati pergi ke mbah dukun.ooopss..salah.yg sakit hati pergi kedokter cinta.hahahaahah,5
tempat asri dan nyamanhari minggu ternyata buka,4
"tempat yang harus selalu didatengin sih kalo tiap ke magelang, untuk sekedar melepas penat, mandi di air hangat candi umbul tuh bikin betah❣️untuk harga tiket masuk waktu aku kesana masih di 15rb/orang …",5
"Tempat nya bagus; hanya saja kesadaran pengunjung kurang banget karena banyak sisa sampah bekas yg dibuang seenaknya, padahal sudah disediakan tempat sampah.Ditambah lagi pengelola & petugas kebersihan tampaknya tidak concern dengan tugas tanggung jawabnya.",5
Klo kesini mending jumat pagi..jangan kesini hari kamis karna dikuras san dibersihkan tiap hari kamis...,5
"Bukan air panas seperti yang diharapkan dan dibayangkan. Boro- boro mau ilangin gatal2 malah semakin gatal2. Unik bgt tempat nya, beneran mandi di candi. Sayangnya itu lumut banyak sekali, terlihat lumut mengambang di permukaan. Tolong …",2
"Tempatnya asyik, cuma tempat bilasnya yang harus diperhatikan lagi",3
Mandi air hangat di pegunungan... mantab... HTM murah bnget....,5
"Tempat wisata bersejarah yg perlu ditingkatkan kembali pengelolaan nya,, juga kebersihan yg harus ditingkatkan",4
"Sebagai salah satu kolam renang air hangat di daerah desa (perkampungan) sudah sangat baik. Saran saja, bisa ditingkatkan maintenance atau perawatan kamar mandi, tempat bilas, dan bisa dijadikan perhatian untuk menyediakan lahan parkir …",4
Katanya air anget tapi airnya biasa aja..,4
Tempat untuk berendam air hangat di kolam. Harga tiket masuk murah,4
tempatnya nyaman tenang.ccok buat ngrefreh pkiran.,5
"Ada 2 kolam dengan suasana yang bersejarah.  Kolam dengan kedalaman krang lebih 1,4m dan  1m.  Air kolam agak hijau kecoklatan.  Pas nyelam di kolam 1,4m banyak mata air tp tdk begitu kencang keluarnya. …",5
Toilet sangat buruk dan tidak layak.,3
Serasa mandi pada jaman kerajaan,5
"Krn pemandian Candi Umbul ini kolam alami, maka ada lumut di air dan dinding kolam. Hal ini tdk masalah ntk yg hanya ingin berendam.Airnya tdk panas, hangat saja dan tdk berbau sulfur jadi malah cocok untuk anak2 kecil",4
Harus d perbaiki lg untuk fasilitas umumnya. Gazebo pd bocor. Kamar mandi/untuk bilasnya kerannya pd rusak,4
"Cocok bgt untuk yang suka wisata sejarah,,,sambil bisa rendam di air hangat...",5
Air berwarna hijau dan bau tidak sedap. Kebersihan kurang diperhatikan. Masuk tidak tersedia karcis. Bayar 10.000. Harap diperhatikan kebersihan dan kondisi air agar banyak wisatawan yang datang dan bisa menggerakkan ekonomi warga sekitar.,3
"Pemandian air hangat, fasilitas kurang terawat, tutup jam 6 sore. Mobil elf ga bisa masuk.",3
"Akses mudah, hanya saja perlu penambahan dan perbaikan fasilitas toilet",5
"Kamar mandi kebersihannya perlu diperbaiki dengan serius, harus menyediakan tempat untuk menyimpan barang dengan aman saat berendam, perlu peraturan tegas pada anak-anak yang sering memindahkan batu2 dalam kolam, jalan menuju lokasi sempit dan harus berhati2.",2
Air nya hangat enak menyenangkan😋 …,5
"Lumayan bagus dan pas hangatnya untuk berendam, cuma satu yg disayangkan pihak pengelola harusnya lebih tegas kepada pengunjung yang berendam di kolam sambil merokok. Tempat ganti dan bilas yang kurang terawat terkesan kotor",3
Buka 24 jam. Pemandangan luar biasa. Terletak di lembah dikelilingi gunung dan hamparan sawah ladang. Akses jalan sempit cukup utk mobil hanya di beberapa titik susah utk simpangan. Kolam dari batu candi dengan sebuah batu datar serupa meja …,3
"Kolam cukup jernih, agak hangat, unikny ada gelembung-gelembung keluar dari bawah kolam. Sayangnya kurang terawat fasilitasnya, terutama kamar mandi, waktu saya kesana bau pesing, di dalam ndak bisa dipakai mandi",3
Bagi yg suka main air sini tempatnya air hangat dari alam,4
"Kolam renang air hangat, tidak terlalu luas, namun airnya cukup bersih. Lokasi mudah dijangkau, pemandangan sekitar asri dan sejuk. Sayangnya, candinya sudah tidak ada, tinggal puing puing sisanya saja.Jam buka sampai jam 18.00 wib.",3
"air hangat, tidak terlalu panas seperti candi gedong songo, kandungan belerang sangat sedikit hampir gak terasa sama sekali, jadi enak buat sekedar berendam air hangat. …",4
"sangat bagus, jika kalian yang akan berkunjung di wisata ini saya sarankan datang lah jam² 6:00 wib karena hawa udara masih segar dan air masih hangat sekali.",5
"Masih tutup akibat PPKM diperpanjang. Jalan akses masuk nya sedikit sempit, untuk papasan dua mobil perlu salah satunya mengalah. Tempat wisata bagus, masih asri. Ada gazebo bambu juga.",4
Lumayan buat isi liburan,1
Airnya hangat. Sayang kamar mandi dan goilet kurang memadai juga di tempat wisata tsb masih sedikit pedagang. Apalagi yang jualan sovenir tidak ada. Kurang puas untuk fasilitasnya. Namun untu kolam pemandiannya sangat memuaskan.,4
"Salah satu situs peninggalan nenek moyang yg mesti dilestarikan. Sayangnya bbrp. bangunan sudah lenyap, jadi tinggal pemandiannya saja.Semoga terawat dg baik sbg warisan untuk generasi mendatang",5
Candi yg memiliki situs tempat pemandian yg unik seperti jaman kerajaan sangat bagus.,5
Keunggulan wisata disini :1. Airnya hangat. Enak nyaman2. Tempatnya mudah dijangkau …,3
Murah nyaman dan buat menambah ilmu pengetahuan,5
"Banyak kenangan semasa kecil disini.. saat ini sudah tambah rapi, bersih dan tampak lebih tertata.. waktu tg tepat untuk berkunjung kesini adalah saat pagi hari, karena air terasa lebih menghangatkan badan..",4
"kotor! airnya ijo campur lumut. air juga ga panas, cuma hangat. tempat bilas ala kadarnya. toilet kotor, air ga lancar. juga pastiin harga tiket tertulis sama yg diminta petugas. harus banyak dibenahi.",1
"Sebenarnya tempatnya bagus kalau dikelola dengan baik, untuk kolam kurang nyaman karena di kolam untuk berenang kurang dirawat sehingga di bagian kolam banyak lumut sehingga membuat licin, untuk tempat bilas pun kurang terawat karena bbrp …",3
Pemandian air hangat yang masih berfungsi sampai sekarang dan merupakan cagar budaya peninggalan dinasti wangsa syailendra. Tempatnya sejuk diantara persawahan dan termasuk tempat wisata di sekitaran Magelang dan sekitarnya.,3
"Salah satu candi yang ada kolam pemandian air panas.  Tempatnya di tengah sawah, airnya anget, tempatnya sejuk dan rindang.  Walau masih ada sedikit perbaikan tapi recomended lah.  .tiket parkir mobil 5 ribu, motor 2 ribu sedangakn untuk tiket masuk dewasa 7 ribu, anak2 6 ribu.  Ikutin aja Google map pasti ktmu tempatnya.",5
Yg seneng wisata sejarah boleh dicoba. Candi umbul terletak di jalan antara pringsurat-secang magelang. Bisa ditempuh leqat grabag atau yg lebih dekat lewat jalan raya pringsurat. Dari arah bawen ke secang magelang masuk gangg sangat dekat …,5
"Tidak jauh berbeda dengan yang dulu. Dianjurkan datang ketika pagi banget, biar air ga keruh",5
"Saya Hanya memberi bintang 3 karena airnya hanya hangat tidak terasa panas sama sekali, pemandiannya kotor, ruang ganti yang terbatas, semoga ini deperhatikan oleh pemerintah setempat. …",3
"Tidak seindah yang dibayangkan. Airnya kurang bersih, banyak lumut. Tidak ada kamar bilas,  jadi urung main airnya..... 😐. Untung sblmnya sudah dihibur dengan  indahnya pemandangan pedesaan Magelang dari arah ketep sampai candi, lumayan untuk mengobati kecewa di umbul. …",2
gowes kesana niatnya cari kehangatan duniawi tapi ternyata tutup. sayang sekali.,5
"Seandainya di kelola secara profesional melibatkan swasta mungkin lebih baik lagi kondisinya, tempat bilas, ruang ganti dan seputaran itu kurang terjaga kebersihannya,  dan penjual sebaiknya di letakkan pada 1 tempat sehingga lebih rapi lagi",3
"Salah satu patirtaan favorit saya dan keluarga. Merupakan cagar budaya peninggalan masa klasik hindhu-budha. Terdapat fragmen-fragmen bangunan suci (candi). Airnya hangat, namun bersih dan tidak bau belerang. Tiket murah, dewasa Rp. 7000 sudah plus parkir",5
Tempat pemandian air panas yang bisa melepas lelah dan menyegarkan badan,5
"Kolam renangnya hangat, tiket nya terjangkau, lingkungan ny bersih.",5
Tempat pemandian air panas yg terbentuk dari jaman kerajaan,4
Sangat enakKalo masalah air keruh memang dari dulu saya SD tahun 2001 memang sudah keruh jadi gak usah di permasalahkan. Keruh begitu tapi yang punya penyakit kulit pada sembuh kok.,5
"Candi Umbul terletak di Desa Kartoharjo, Kecamatan Grabak, Kabupaten Magelang, dan lokasinya berada di sekitar Sungai Elo. Candi Umbul ini berupa sebuah kolam pemandian yang dikelilingi oleh batu andesit. Kolam itu mempunyai ukuran panjang …",5
"Pemandian air hangat di kabupaten magelang, tempat bagus, tapi mohon untuk pengelola tempat untuk bilas pria sangat tidak memanusiakan manusia, hanya satu Kamar mandi yang ada airnya, dan bau pesing tercium di sekitar kamar mandi.",4
"Bukanya g tepat waktu.... Katanya buka jam 6 tp sampai jam 6 lewat belum buka, ... Dan tidak ada no yg bisa dihubungi... Padahal dua hari sebelumnya sdh ijin bawa wisatawan ... Eh ujung ujungnya mau sendiri dibilang g disiplin lah, g tepat waktulah... Moga management nya bisa diperbaiki",2
"Tempatnya sedang dipugar, namun masih bisa masuk. Tempat bersih, ada retribusi. Airnya hangat, warnanya hijau, agak licin karena lumut jadi lebih hati-hati terutama di tangga dan dasar kolam karena bebatuan.",4
"Toilet tidak terawat,banyak coretan/mural tangan2 jahil,air toilet dan air bilas kotor,fasilitas tidak memadai,tidak banyak tempat sampah yang tersedia,kurangnya pengawasan petugas sehingga banyak sudut dimanfaatkan untuk pacaran.",1
